Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
01/10/2013,0.3582,0.3582,0.3582,0.3582
02/10/2013,0.3625,0.3582,0.3669,0.3582
03/10/2013,0.3582,0.3582,0.3625,0.3538
04/10/2013,0.3538,0.3625,0.3625,0.3538
07/10/2013,0.3625,0.3538,0.3625,0.3538
08/10/2013,0.3625,0.3582,0.3669,0.3582
09/10/2013,0.3669,0.3625,0.3669,0.3625
10/10/2013,0.3625,0.3669,0.3669,0.3625
11/10/2013,0.3669,0.3625,0.3669,0.3625
14/10/2013,0.3669,0.3669,0.3713,0.3669
17/10/2013,0.3713,0.3669,0.3713,0.3669
18/10/2013,0.3756,0.3756,0.3756,0.3756
21/10/2013,0.38,0.3756,0.3844,0.3756
22/10/2013,0.3844,0.3844,0.3844,0.3844
23/10/2013,0.3887,0.3844,0.3887,0.3844
24/10/2013,0.3844,0.3887,0.3887,0.3844
25/10/2013,0.3844,0.3844,0.3844,0.3844
28/10/2013,0.3844,0.3844,0.3844,0.3844
29/10/2013,0.3844,0.3844,0.3844,0.38
30/10/2013,0.3756,0.3844,0.3844,0.3713
31/10/2013,0.3713,0.3713,0.3713,0.3713
01/11/2013,0.3713,0.3713,0.3713,0.3713
04/11/2013,0.38,0.3756,0.38,0.3756
05/11/2013,0.38,0.38,0.38,0.3669
06/11/2013,0.3713,0.38,0.38,0.3713
07/11/2013,0.3713,0.3713,0.38,0.3669
08/11/2013,0.3713,0.3756,0.3756,0.3713
11/11/2013,0.3625,0.3669,0.3713,0.3625
12/11/2013,0.3671,0.3671,0.3671,0.3671
13/11/2013,0.3716,0.3716,0.3716,0.3716
14/11/2013,0.3671,0.3716,0.3716,0.3671
15/11/2013,0.3625,0.3671,0.3671,0.3625
18/11/2013,0.3807,0.3671,0.3807,0.3625
19/11/2013,0.3761,0.3716,0.3761,0.3716
20/11/2013,0.3716,0.3716,0.3716,0.3716
21/11/2013,0.3807,0.3716,0.3807,0.3716
22/11/2013,0.3807,0.3807,0.3807,0.3807
25/11/2013,0.3897,0.3852,0.3897,0.3807
26/11/2013,0.3943,0.3897,0.3943,0.3852
27/11/2013,0.3852,0.3943,0.3943,0.3852
28/11/2013,0.3988,0.3897,0.3988,0.3897
29/11/2013,0.3897,0.3852,0.3897,0.3852
02/12/2013,0.3897,0.3897,0.3897,0.3897
03/12/2013,0.3897,0.3943,0.3943,0.3897
04/12/2013,0.3852,0.3852,0.3852,0.3852
05/12/2013,0.3897,0.3852,0.3897,0.3852
09/12/2013,0.3852,0.3852,0.3852,0.3852
10/12/2013,0.3807,0.3807,0.3897,0.3807
11/12/2013,0.3807,0.3852,0.3852,0.3807
12/12/2013,0.3761,0.3807,0.3807,0.3761
13/12/2013,0.3807,0.3807,0.3852,0.3761
16/12/2013,0.3852,0.3852,0.3852,0.3852
17/12/2013,0.3807,0.3852,0.3852,0.3761
18/12/2013,0.3807,0.3807,0.3807,0.3807
19/12/2013,0.3807,0.3807,0.3807,0.3807
20/12/2013,0.3807,0.3897,0.3897,0.3807
23/12/2013,0.3807,0.3897,0.3897,0.3807
26/12/2013,0.3807,0.3852,0.3852,0.3807
27/12/2013,0.3897,0.3852,0.3897,0.3852
